Bigram                        		Count          		Probabiltites
seven board                   		2.0            		3.563792E-4
board seats                   		2.0            		3.3489618E-4
seats .                       		4.0            		7.1237754E-4
. Ted                         		2.0            		3.028009E-4
Ted Turner                    		3.0            		5.348547E-4
Turner ,                      		3.0            		5.345688E-4
, Turner                      		3.0            		3.931848E-4
Turner Broadcasting           		3.0            		5.345688E-4
Broadcasting 's               		2.0            		3.565698E-4
's chairman                   		67.0           		0.011183442
chairman ,                    		93.0           		0.015097403
, was                         		52.0           		0.006815203
was named                     		43.0           		0.0074381595
named chairman                		14.0           		0.0024721879
chairman of                   		226.0          		0.036688313
of Turner                     		3.0            		4.584352E-4
Turner Pictures               		2.0            		3.563792E-4
Pictures ,                    		2.0            		3.5669698E-4
, and                         		89.0           		0.011664483
and Gerry                     		2.0            		3.1831927E-4
Gerry Hogan                   		2.0            		3.5669698E-4
Hogan ,                       		2.0            		3.5669698E-4
, president                   		36.0           		0.0047182175
president of                  		15.0           		0.002633427
of Turner                     		3.0            		4.584352E-4
Turner Entertainment          		2.0            		3.563792E-4
Entertainment Networks        		2.0            		3.5650624E-4
Networks ,                    		2.0            		3.5669698E-4
, was                         		52.0           		0.006815203
was named                     		43.0           		0.0074381595
named president               		7.0            		0.0012360939
president of                  		15.0           		0.002633427
of the                        		267.0          		0.040800735
the unit                      		5.0            		7.10631E-4
unit .                        		2.0            		3.558086E-4
. Roy                         		2.0            		3.028009E-4
Roy E.                        		2.0            		3.566334E-4
E. Parrott                    		2.0            		3.5568202E-4
Parrott ,                     		2.0            		3.5669698E-4
, the                         		112.0          		0.014678899
the company                   		85.0           		0.012080728
company 's                    		43.0           		0.007474361
's president                  		3.0            		5.0075114E-4
president and                 		46.0           		0.008075843
and chief                     		158.0          		0.025147222
chief operating               		10.0           		0.0017253278
operating officer             		10.0           		0.0017787265
officer since                 		2.0            		3.4837137E-4
since Sept.                   		2.0            		3.558719E-4
Sept. 1                       		3.0            		5.345688E-4
1 ,                           		5.0            		8.89205E-4
, was                         		52.0           		0.006815203
was named                     		43.0           		0.0074381595
named to                      		12.0           		0.0021190182
to its                        		5.0            		7.993605E-4
its board                     		35.0           		0.006102877
board .                       		58.0           		0.009711989
. The                         		122.0          		0.018470855
The bank                      		3.0            		5.2101427E-4
bank 's                       		11.0           		0.0019520852
's chairman                   		67.0           		0.011183442
chairman and                  		141.0          		0.02288961
and director                  		5.0            		7.957982E-4
director general              		2.0            		3.539823E-4
general ,                     		2.0            		3.5625222E-4
, who                         		64.0           		0.008387943
who also                      		3.0            		5.259467E-4
also sit                      		2.0            		3.5323208E-4
sit on                        		2.0            		3.566334E-4
on the                        		66.0           		0.011466296
the board                     		145.0          		0.0206083
board ,                       		33.0           		0.005525787
, still                       		2.0            		2.621232E-4
still would                   		2.0            		3.5606197E-4
would be                      		22.0           		0.003865074
be appointed                  		2.0            		3.500175E-4
appointed by                  		2.0            		3.564427E-4
by the                        		44.0           		0.00766417
the Treasury                  		8.0            		0.0011370097
Treasury .                    		2.0            		3.5599858E-4
. Since                       		2.0            		3.028009E-4
Since the                     		2.0            		3.5669698E-4
the last                      		5.0            		7.10631E-4
last time                     		2.0            		3.546728E-4
time he                       		3.0            		5.3352304E-4
he traveled                   		2.0            		3.5137034E-4
traveled this                 		2.0            		3.5669698E-4
this way                      		2.0            		3.5106196E-4
way several                   		2.0            		3.5618877E-4
several months                		3.0            		5.3447357E-4
months ago                    		3.0            		5.3399784E-4
ago ,                         		7.0            		0.0012462168
, he                          		11.0           		0.0014416776
he has                        		6.0            		0.001054111
has recanted                  		2.0            		3.511236E-4
recanted a                    		2.0            		3.5669698E-4
a series                      		2.0            		3.2320622E-4
series of                     		2.0            		3.5669698E-4
of bold                       		2.0            		3.056235E-4
bold forecasts                		2.0            		3.5593522E-4
forecasts of                  		2.0            		3.5669698E-4
of a                          		26.0           		0.003973105
a recession                   		4.0            		6.4641243E-4
recession .                   		2.0            		3.564427E-4
. Also                        		5.0            		7.570023E-4
Also named                    		2.0            		3.5650624E-4
named to                      		12.0           		0.0021190182
to the                        		86.0           		0.013749001
the revised                   		2.0            		2.8425243E-4
revised board                 		2.0            		3.5669698E-4
board was                     		3.0            		5.023443E-4
was Thomas                    		2.0            		3.459609E-4
Thomas A.                     		4.0            		7.117438E-4
A. Loose                      		2.0            		3.554292E-4
Loose ,                       		2.0            		3.5669698E-4
, Recognition                 		2.0            		2.621232E-4
Recognition 's                		2.0            		3.5669698E-4
's senior                     		2.0            		3.338341E-4
senior vice                   		3.0            		5.345688E-4
vice president                		12.0           		0.0021193924
president and                 		46.0           		0.008075843
and general                   		2.0            		3.1831927E-4
general counsel               		2.0            		3.5625222E-4
counsel .                     		2.0            		3.566334E-4
. The                         		122.0          		0.018470855
The size                      		2.0            		3.4734284E-4
size of                       		5.0            		8.911067E-4
of the                        		267.0          		0.040800735
the company                   		85.0           		0.012080728
company 's                    		43.0           		0.007474361
's board                      		49.0           		0.008178935
board has                     		10.0           		0.001674481
has been                      		18.0           		0.0031601123
been reduced                  		2.0            		3.543586E-4
reduced to                    		3.0            		5.345688E-4
to eight                      		3.0            		4.796163E-4
eight directors               		2.0            		3.565698E-4
directors from                		2.0            		3.548616E-4
from 13                       		2.0            		3.5161743E-4
13 .                          		3.0            		5.342832E-4
. ``                          		94.0           		0.014231643
`` A                          		2.0            		3.4164675E-4
A union                       		2.0            		3.5599858E-4
union ,                       		4.0            		7.122507E-4
, sooner                      		2.0            		2.621232E-4
sooner or                     		2.0            		3.566334E-4
or later                      		3.0            		5.298481E-4
later ,                       		2.0            		3.5625222E-4
, has                         		13.0           		0.0017038007
has to                        		3.0            		5.266854E-4
to have                       		10.0           		0.001598721
have an                       		3.0            		5.29661E-4
an adversary                  		2.0            		3.51803E-4
adversary ,                   		2.0            		3.5669698E-4
, and                         		89.0           		0.011664483
and it                        		6.0            		9.549578E-4
it has                        		5.0            		8.7657786E-4
has to                        		3.0            		5.266854E-4
to have                       		10.0           		0.001598721
have a                        		5.0            		8.8276836E-4
a victory                     		2.0            		3.2320622E-4
victory ,                     		2.0            		3.5669698E-4
, ''                          		116.0          		0.015203145
'' Frederick                  		2.0            		3.4211428E-4
Frederick W.                  		3.0            		5.3447357E-4
W. Smith                      		3.0            		5.3371285E-4
Smith ,                       		3.0            		5.345688E-4
, Federal                     		4.0            		5.242464E-4
Federal 's                    		2.0            		3.558086E-4
's chairman                   		67.0           		0.011183442
chairman and                  		141.0          		0.02288961
and chief                     		158.0          		0.025147222
chief executive               		165.0          		0.028467909
executive ,                   		19.0           		0.0032786885
, says                        		13.0           		0.0017038007
says with                     		2.0            		3.5323208E-4
with disdain                  		2.0            		3.4995624E-4
disdain .                     		2.0            		3.5669698E-4
. DPC                         		2.0            		3.028009E-4
DPC ,                         		2.0            		3.565698E-4
, a                           		69.0           		0.00904325
a group                       		7.0            		0.0011312218
group led                     		3.0            		5.309734E-4
led by                        		9.0            		0.0016017085
by the                        		44.0           		0.00766417
the New                       		10.0           		0.001421262
New York                      		27.0           		0.004788083
York investment               		2.0            		3.550506E-4
investment firm               		3.0            		5.3267047E-4
firm Crescott                 		2.0            		3.549246E-4
Crescott Inc.                 		2.0            		3.5669698E-4
Inc. ,                        		31.0           		0.0054799365
, also                        		10.0           		0.001310616
also said                     		11.0           		0.0019427764
said it                       		21.0           		0.003567182
it plans                      		2.0            		3.5063113E-4
plans to                      		11.0           		0.0019562512
to file                       		3.0            		4.796163E-4
file preliminary              		2.0            		3.566334E-4
preliminary materials         		2.0            		3.5669698E-4
materials with                		2.0            		3.565698E-4
with the                      		26.0           		0.004549431
the Securities                		6.0            		8.5275725E-4
Securities and                		7.0            		0.0012468828
and Exchange                  		7.0            		0.0011141174
Exchange Commission           		6.0            		0.0010683761
Commission regarding          		2.0            		3.5612535E-4
regarding a                   		2.0            		3.566334E-4
a shareholder                 		3.0            		4.848093E-4
shareholder solicitation      		2.0            		3.558719E-4
solicitation to               		2.0            		3.564427E-4
to oust                       		6.0            		9.592326E-4
oust Dataproducts             		2.0            		3.563792E-4
Dataproducts '                		4.0            		7.128854E-4
' board                       		2.0            		3.5536604E-4
board .                       		58.0           		0.009711989
. A                           		12.0           		0.0018168055
A special                     		2.0            		3.5599858E-4
special committee             		4.0            		7.1237754E-4
committee of                  		7.0            		0.0012426771
of United                     		3.0            		4.584352E-4
United Merchants              		2.0            		3.563157E-4
Merchants directors           		2.0            		3.5669698E-4
directors said                		3.0            		5.322924E-4
said that                     		16.0           		0.0027178528
that in                       		4.0            		6.822446E-4
in view                       		2.0            		3.352892E-4
view of                       		3.0            		5.348547E-4
of uncertainties              		2.0            		3.056235E-4
uncertainties regarding       		2.0            		3.5669698E-4
regarding various             		2.0            		3.566334E-4
various legal                 		2.0            		3.566334E-4
legal and                     		3.0            		5.3447357E-4
and financial                 		5.0            		7.957982E-4
financial considerations      		2.0            		3.553029E-4
considerations ,              		2.0            		3.5669698E-4
, it                          		13.0           		0.0017038007
it could                      		3.0            		5.259467E-4
could n't                     		5.0            		8.8794174E-4
n't recommend                 		2.0            		3.511236E-4
recommend the                 		2.0            		3.5650624E-4
the plan                      		4.0            		5.6850485E-4
plan to                       		7.0            		0.0012457733
to the                        		86.0           		0.013749001
the full                      		4.0            		5.6850485E-4
full board                    		2.0            		3.564427E-4
board .                       		58.0           		0.009711989
. Erwin                       		2.0            		3.028009E-4
Erwin Tomash                  		2.0            		3.5669698E-4
Tomash ,                      		2.0            		3.5669698E-4
, the                         		112.0          		0.014678899
the 67-year-old               		2.0            		2.8425243E-4
67-year-old founder           		2.0            		3.5669698E-4
founder of                    		3.0            		5.3437834E-4
of this                       		54.0           		0.008251834
this maker                    		6.0            		0.0010531859
maker of                      		8.0            		0.0014229811
of data                       		2.0            		3.056235E-4
data communications           		2.0            		3.5669698E-4
communications products       		2.0            		3.566334E-4
products and                  		4.0            		7.1187044E-4
and a                         		25.0           		0.003978991
a former                      		5.0            		8.080155E-4
former chairman               		14.0           		0.0024853542
chairman and                  		141.0          		0.02288961
and chief                     		158.0          		0.025147222
chief executive               		165.0          		0.028467909
executive ,                   		19.0           		0.0032786885
, resigned                    		6.0            		7.863696E-4
resigned as                   		10.0           		0.0017780939
as a                          		26.0           		0.004517026
a director                    		25.0           		0.004040078
director .                    		8.0            		0.0014159292
. Specter                     		2.0            		3.028009E-4
Specter ,                     		2.0            		3.566334E-4
, the                         		112.0          		0.014678899
the vice                      		2.0            		2.8425243E-4
vice chairman                 		44.0           		0.0077711055
chairman of                   		226.0          		0.036688313
of the                        		267.0          		0.040800735
the Senate                    		9.0            		0.0012791358
Senate 's                     		2.0            		3.5606197E-4
's evidence                   		2.0            		3.338341E-4
evidence panel                		2.0            		3.563792E-4
panel ,                       		3.0            		5.34664E-4
, said                        		101.0          		0.013237221
said there                    		2.0            		3.397316E-4
there was                     		4.0            		7.1123755E-4
was ``                        		7.0            		0.0012108631
`` insufficient               		3.0            		5.124701E-4
insufficient evidence         		2.0            		3.566334E-4
evidence to                   		2.0            		3.563792E-4
to convict                    		2.0            		3.197442E-4
convict ''                    		2.0            		3.5669698E-4
'' the                        		6.0            		0.0010263429
the Miami                     		2.0            		2.8425243E-4
Miami jurist                  		2.0            		3.566334E-4
jurist .                      		2.0            		3.5669698E-4
. ``                          		94.0           		0.014231643
`` I                          		10.0           		0.0017082337
I think                       		3.0            		5.3352304E-4
think it                      		2.0            		3.563157E-4
it was                        		16.0           		0.002805049
was something                 		2.0            		3.459609E-4
something that                		3.0            		5.3447357E-4
that we                       		4.0            		6.822446E-4
we and                        		2.0            		3.554292E-4
and they                      		3.0            		4.774789E-4
they thought                  		2.0            		3.5417036E-4
thought was                   		2.0            		3.565698E-4
was constructive              		2.0            		3.459609E-4
constructive ,                		2.0            		3.5669698E-4
, ''                          		116.0          		0.015203145
'' said                       		49.0           		0.0083818
said Stephen                  		3.0            		5.095974E-4
Stephen D.                    		2.0            		3.563157E-4
D. Weinroth                   		2.0            		3.548616E-4
Weinroth ,                    		2.0            		3.5669698E-4
, chairman                    		188.0          		0.02463958
chairman and                  		141.0          		0.02288961
and co-chief                  		4.0            		6.3663855E-4
co-chief executive            		5.0            		8.912656E-4
executive officer             		115.0          		0.019844694
officer of                    		47.0           		0.008186727
of Integrated                 		2.0            		3.056235E-4
Integrated .                  		2.0            		3.5669698E-4
. Jack                        		5.0            		7.570023E-4
Jack Davis                    		3.0            		5.3447357E-4
Davis ,                       		6.0            		0.0010689471
, Dataproducts                		3.0            		3.931848E-4
Dataproducts '                		4.0            		7.128854E-4
' president                   		2.0            		3.5536604E-4
president ,                   		20.0           		0.003511236
, chairman                    		188.0          		0.02463958
chairman and                  		141.0          		0.02288961
and chief                     		158.0          		0.025147222
chief executive               		165.0          		0.028467909
executive officer             		115.0          		0.019844694
officer ,                     		57.0           		0.009928584
, said                        		101.0          		0.013237221
said the                      		33.0           		0.0056055714
the company                   		85.0           		0.012080728
company ``                    		4.0            		6.952894E-4
`` is                         		4.0            		6.832935E-4
is at                         		2.0            		3.4524425E-4
at a                          		17.0           		0.00297932
a loss                        		3.0            		4.848093E-4
loss to                       		2.0            		3.564427E-4
to understand                 		2.0            		3.197442E-4
understand DPC                		2.0            		3.5669698E-4
DPC 's                        		2.0            		3.565698E-4
's intentions                 		2.0            		3.338341E-4
intentions .                  		2.0            		3.5669698E-4
. ''                          		65.0           		0.0098410295
'' ``                         		7.0            		0.0011973999
`` Today                      		2.0            		3.4164675E-4
Today 's                      		2.0            		3.565698E-4
's stock                      		3.0            		5.0075114E-4
stock market                  		5.0            		8.855827E-4
market decline                		2.0            		3.5391966E-4
decline does                  		2.0            		3.563157E-4
does n't                      		9.0            		0.0016028495
n't signal                    		2.0            		3.511236E-4
signal any                    		2.0            		3.5669698E-4
any fundamental               		2.0            		3.5517671E-4
fundamental change            		2.0            		3.5669698E-4
change in                     		3.0            		5.345688E-4
in the                        		93.0           		0.015590947
the condition                 		3.0            		4.2637862E-4
condition of                  		2.0            		3.565698E-4
of the                        		267.0          		0.040800735
the economy                   		5.0            		7.10631E-4
economy ,                     		6.0            		0.0010687567
, ''                          		116.0          		0.015203145
'' he                         		5.0            		8.552857E-4
he said                       		5.0            		8.7842584E-4
said .                        		19.0           		0.0032274504
. JMB                         		2.0            		3.028009E-4
JMB officials                 		2.0            		3.5669698E-4
officials are                 		4.0            		7.116172E-4
are expected                  		3.0            		5.2938063E-4
expected to                   		7.0            		0.0012466607
to be                         		29.0           		0.004636291
be hired                      		2.0            		3.500175E-4
hired to                      		2.0            		3.566334E-4
to represent                  		4.0            		6.394884E-4
represent the                 		2.0            		3.564427E-4
the pension                   		2.0            		2.8425243E-4
pension fund                  		2.0            		3.5669698E-4
fund on                       		2.0            		3.5618877E-4
on the                        		66.0           		0.011466296
the Santa                     		2.0            		2.8425243E-4
Santa Fe                      		5.0            		8.912656E-4
Fe Pacific                    		4.0            		7.130125E-4
Pacific Realty                		3.0            		5.3475937E-4
Realty board                  		2.0            		3.566334E-4
board ,                       		33.0           		0.005525787
, Mr.                         		28.0           		0.0036697248
Mr. Roulac                    		2.0            		3.4578147E-4
Roulac said                   		2.0            		3.5669698E-4
said ,                        		14.0           		0.0023781213
, to                          		17.0           		0.0022280472
to insulate                   		2.0            		3.197442E-4
insulate the                  		2.0            		3.566334E-4
the fund                      		4.0            		5.6850485E-4
fund from                     		2.0            		3.5618877E-4
from potential                		2.0            		3.5161743E-4
potential liability           		2.0            		3.563792E-4
liability problems            		2.0            		3.5669698E-4
problems .                    		2.0            		3.563792E-4
. ``                          		94.0           		0.014231643
`` Who                        		2.0            		3.4164675E-4
Who would                     		2.0            		3.566334E-4
would the                     		2.0            		3.5137034E-4
the board                     		145.0          		0.0206083
board be                      		2.0            		3.3489618E-4
be working                    		2.0            		3.500175E-4
working for                   		2.0            		3.5650624E-4
for --                        		2.0            		3.471017E-4
-- the                        		3.0            		5.3267047E-4
the public                    		3.0            		4.2637862E-4
public shareholders           		2.0            		3.563157E-4
shareholders or               		2.0            		3.5606197E-4
or the                        		4.0            		7.0646417E-4
the pilots                    		7.0            		9.948835E-4
pilots ?                      		2.0            		3.5606197E-4
? ''                          		4.0            		7.127584E-4
'' she                        		2.0            		3.4211428E-4
she adds                      		2.0            		3.563792E-4
adds .                        		2.0            		3.565698E-4
. Mr.                         		68.0           		0.010295231
Mr. Field                     		2.0            		3.4578147E-4
Field also                    		2.0            		3.566334E-4
also had                      		2.0            		3.5323208E-4
had been                      		12.0           		0.0021223912
been chairman                 		3.0            		5.315379E-4
chairman of                   		226.0          		0.036688313
of McKesson                   		2.0            		3.056235E-4
McKesson Corp.                		2.0            		3.5669698E-4
Corp. ,                       		38.0           		0.0067066713
, resigning                   		2.0            		2.621232E-4
resigning that                		2.0            		3.566334E-4
that post                     		2.0            		3.411223E-4
post after                    		2.0            		3.557453E-4
after a                       		7.0            		0.0012424565
a dispute                     		3.0            		4.848093E-4
dispute with                  		3.0            		5.3495006E-4
with the                      		26.0           		0.004549431
the board                     		145.0          		0.0206083
board over                    		2.0            		3.3489618E-4
over corporate                		2.0            		3.554292E-4
corporate strategy            		2.0            		3.5625222E-4
strategy .                    		2.0            		3.565698E-4
. ``                          		94.0           		0.014231643
`` To                         		2.0            		3.4164675E-4
To get                        		2.0            		3.5650624E-4
get people                    		2.0            		3.5625222E-4
people 's                     		2.0            		3.5606197E-4
's attention                  		2.0            		3.338341E-4
attention these               		2.0            		3.566334E-4
these days                    		2.0            		3.563157E-4
days ,                        		2.0            		3.564427E-4
, ''                          		116.0          		0.015203145
'' says                       		38.0           		0.006500171
says Douglas                  		2.0            		3.5323208E-4
Douglas Bailey                		2.0            		3.565698E-4
Bailey ,                      		2.0            		3.565698E-4
, a                           		69.0           		0.00904325
a political                   		2.0            		3.2320622E-4
political consultant          		2.0            		3.5650624E-4
consultant ,                  		2.0            		3.563157E-4
, ``                          		18.0           		0.0023591088
`` your                       		2.0            		3.4164675E-4
your TV                       		2.0            		3.564427E-4
TV ad                         		2.0            		3.564427E-4
ad needs                      		2.0            		3.563157E-4
needs to                      		2.0            		3.565698E-4
to be                         		29.0           		0.004636291
be bold                       		3.0            		5.2502623E-4
bold and                      		4.0            		7.1187044E-4
and entertaining              		2.0            		3.1831927E-4
entertaining ,                		2.0            		3.5669698E-4
, and                         		89.0           		0.011664483
and ,                         		3.0            		4.774789E-4
, more                        		3.0            		3.931848E-4
more often                    		2.0            		3.5517671E-4
often than                    		2.0            		3.565698E-4
than not                      		2.0            		3.550506E-4
not ,                         		2.0            		3.553029E-4
, that                        		5.0            		6.55308E-4
that means                    		3.0            		5.1168347E-4
means confrontational         		2.0            		3.565698E-4
confrontational .             		2.0            		3.5669698E-4
. But                         		27.0           		0.0040878123
But if                        		2.0            		3.549246E-4
if the                        		6.0            		0.0010659087
the board                     		145.0          		0.0206083
board rejects                 		2.0            		3.3489618E-4
rejects a                     		2.0            		3.5669698E-4
a reduced                     		2.0            		3.2320622E-4
reduced bid                   		2.0            		3.563792E-4
bid and                       		3.0            		5.323869E-4
and decides                   		2.0            		3.1831927E-4
decides to                    		2.0            		3.566334E-4
to explore                    		2.0            		3.197442E-4
explore other                 		2.0            		3.5669698E-4
other alternatives            		2.0            		3.5454705E-4
alternatives ,                		2.0            		3.5669698E-4
, it                          		13.0           		0.0017038007
it could                      		3.0            		5.259467E-4
could transform               		2.0            		3.5517671E-4
transform what                		2.0            		3.5669698E-4
what has                      		2.0            		3.557453E-4
has been                      		18.0           		0.0031601123
been a                        		4.0            		7.087172E-4
a harmonious                  		2.0            		3.2320622E-4
harmonious process            		2.0            		3.5669698E-4
process into                  		2.0            		3.564427E-4
into an                       		3.0            		5.3304905E-4
an adversarial                		2.0            		3.51803E-4
adversarial one               		2.0            		3.5669698E-4
one .                         		3.0            		5.325759E-4
. One                         		8.0            		0.0012112036
One advantage                 		2.0            		3.5593522E-4
advantage the                 		2.0            		3.566334E-4
the buy-out                   		6.0            		8.5275725E-4
buy-out group                 		6.0            		0.0010672358
group intends                 		2.0            		3.539823E-4
intends to                    		2.0            		3.5669698E-4
to press                      		2.0            		3.197442E-4
press with                    		2.0            		3.566334E-4
with the                      		26.0           		0.004549431
the board                     		145.0          		0.0206083
board is                      		9.0            		0.0015070328
is that                       		9.0            		0.0015535991
that pilots                   		2.0            		3.411223E-4
pilots have                   		2.0            		3.5606197E-4
have agreed                   		3.0            		5.29661E-4
agreed to                     		9.0            		0.0016028495
to make                       		6.0            		9.592326E-4
make $                        		3.0            		5.3409295E-4
$ 200                         		5.0            		8.762706E-4
200 million                   		4.0            		7.130125E-4
million in                    		8.0            		0.0014139272
in annual                     		3.0            		5.029338E-4
annual cost                   		3.0            		5.3437834E-4
cost concessions              		3.0            		5.345688E-4
concessions to                		2.0            		3.565698E-4
to help                       		5.0            		7.993605E-4
help finance                  		2.0            		3.5618877E-4
finance a                     		3.0            		5.345688E-4
a bid                         		7.0            		0.0011312218
bid .                         		4.0            		7.098492E-4
. When                        		4.0            		6.056018E-4
When there                    		2.0            		3.564427E-4
there are                     		5.0            		8.8904693E-4
are well                      		2.0            		3.529204E-4
well problems                 		2.0            		3.5599858E-4
problems ,                    		5.0            		8.90948E-4
, light                       		2.0            		2.621232E-4
light problems                		2.0            		3.564427E-4
problems ,                    		5.0            		8.90948E-4
, road                        		3.0            		3.931848E-4
road problems                 		2.0            		3.5379446E-4
problems ,                    		5.0            		8.90948E-4
, the                         		112.0          		0.014678899
the government                		7.0            		9.948835E-4
government tells              		2.0            		3.5593522E-4
tells us                      		2.0            		3.5669698E-4
us to                         		3.0            		5.342832E-4
to forget                     		2.0            		3.197442E-4
forget it                     		2.0            		3.5669698E-4
it .                          		9.0            		0.0015778401
. ''                          		65.0           		0.0098410295
'' Investor                   		2.0            		3.4211428E-4
Investor Robert               		2.0            		3.566334E-4
Robert M.                     		5.0            		8.855827E-4
M. Gintel                     		3.0            		5.3314376E-4
Gintel ,                      		4.0            		7.130125E-4
, who                         		64.0           		0.008387943
who owns                      		3.0            		5.259467E-4
owns a                        		2.0            		3.564427E-4
a 4.7                         		2.0            		3.2320622E-4
4.7 %                         		2.0            		3.5669698E-4
% stake                       		13.0           		0.0022968198
stake in                      		14.0           		0.0024888888
in the                        		93.0           		0.015590947
the company                   		85.0           		0.012080728
company ,                     		25.0           		0.004345559
, said                        		101.0          		0.013237221
said he                       		22.0           		0.0037370478
he plans                      		4.0            		7.027407E-4
plans a                       		2.0            		3.5568202E-4
a proxy                       		5.0            		8.080155E-4
proxy fight                   		4.0            		7.130125E-4
fight for                     		2.0            		3.5650624E-4
for control                   		3.0            		5.2065257E-4
control of                    		6.0            		0.0010678057
of its                        		30.0           		0.004584352
its board                     		35.0           		0.006102877
board .                       		58.0           		0.009711989
. I                           		4.0            		6.056018E-4
I 'm                          		6.0            		0.0010670461
'm sure                       		2.0            		3.564427E-4
sure they                     		2.0            		3.5669698E-4
they 'll                      		2.0            		3.5417036E-4
'll do                        		2.0            		3.5669698E-4
do what                       		2.0            		3.5561877E-4
what 's                       		4.0            		7.114906E-4
's right                      		2.0            		3.338341E-4
right ,                       		2.0            		3.5650624E-4
, what                        		3.0            		3.931848E-4
what 's                       		4.0            		7.114906E-4
's prudent                    		2.0            		3.338341E-4
prudent ,                     		2.0            		3.566334E-4
, what                        		3.0            		3.931848E-4
what 's                       		4.0            		7.114906E-4
's sensible                   		2.0            		3.338341E-4
sensible ,                    		2.0            		3.5669698E-4
, ''                          		116.0          		0.015203145
'' he                         		5.0            		8.552857E-4
he said                       		5.0            		8.7842584E-4
said .                        		19.0           		0.0032274504
. Earlier                     		4.0            		6.056018E-4
Earlier this                  		4.0            		7.131396E-4
this month                    		5.0            		8.776549E-4
month the                     		2.0            		3.558719E-4
the company                   		85.0           		0.012080728
company said                  		5.0            		8.6911174E-4
said its                      		22.0           		0.0037370478
its board                     		35.0           		0.006102877
board approved                		10.0           		0.001674481
approved a                    		6.0            		0.0010672358
a proposed                    		2.0            		3.2320622E-4
proposed management-led       		2.0            		3.5650624E-4
management-led leveraged      		2.0            		3.5669698E-4
leveraged buy-out             		3.0            		5.3475937E-4
buy-out at                    		2.0            		3.557453E-4
at $                          		5.0            		8.762706E-4
$ 25.50                       		2.0            		3.5050823E-4
25.50 a                       		2.0            		3.5669698E-4
a share                       		20.0           		0.003232062
share ,                       		12.0           		0.0021321962
, or                          		19.0           		0.0024901703
or $                          		6.0            		0.0010596962
$ 750                         		2.0            		3.5050823E-4
750 million                   		2.0            		3.5669698E-4
million .                     		9.0            		0.0015906681
. Mr.                         		68.0           		0.010295231
Mr. Butler                    		2.0            		3.4578147E-4
Butler will                   		2.0            		3.5650624E-4
will remain                   		14.0           		0.0024475525
remain on                     		6.0            		0.0010659087
on the                        		66.0           		0.011466296
the board                     		145.0          		0.0206083
board as                      		5.0            		8.372405E-4
as a                          		26.0           		0.004517026
a nonexecutive                		6.0            		9.696186E-4
nonexecutive director         		6.0            		0.0010691376
director .                    		8.0            		0.0014159292
. It                          		13.0           		0.001968206
It is                         		5.0            		8.884151E-4
is n't                        		16.0           		0.002761954
n't a                         		2.0            		3.511236E-4
a current                     		2.0            		3.2320622E-4
current topic                 		2.0            		3.5568202E-4
topic of                      		2.0            		3.5669698E-4
of conversation               		2.0            		3.056235E-4
conversation at               		2.0            		3.5669698E-4
at the                        		29.0           		0.0050823693
the company                   		85.0           		0.012080728
company ,                     		25.0           		0.004345559
, ''                          		116.0          		0.015203145
'' said                       		49.0           		0.0083818
said Barry                    		2.0            		3.397316E-4
Barry Diller                  		2.0            		3.5669698E-4
Diller ,                      		2.0            		3.5669698E-4
, chairman                    		188.0          		0.02463958
chairman and                  		141.0          		0.02288961
and chief                     		158.0          		0.025147222
chief executive               		165.0          		0.028467909
executive officer             		115.0          		0.019844694
officer of                    		47.0           		0.008186727
of the                        		267.0          		0.040800735
the Fox                       		2.0            		2.8425243E-4
Fox Inc.                      		2.0            		3.5669698E-4
Inc. unit                     		2.0            		3.5354428E-4
unit of                       		4.0            		7.116172E-4
of News                       		2.0            		3.056235E-4
News Corp                     		2.0            		3.566334E-4
Corp .                        		14.0           		0.0024915466
. Jack                        		5.0            		7.570023E-4
Jack Davis                    		3.0            		5.3447357E-4
Davis ,                       		6.0            		0.0010689471
, Dataproducts                		3.0            		3.931848E-4
Dataproducts '                		4.0            		7.128854E-4
' chairman                    		2.0            		3.5536604E-4
chairman ,                    		93.0           		0.015097403
, said                        		101.0          		0.013237221
said he                       		22.0           		0.0037370478
he had                        		5.0            		8.7842584E-4
had n't                       		4.0            		7.0746377E-4
n't yet                       		3.0            		5.266854E-4
yet seen                      		3.0            		5.34664E-4
seen the                      		3.0            		5.34664E-4
the filing                    		2.0            		2.8425243E-4
filing and                    		2.0            		3.563792E-4
and could                     		3.0            		4.774789E-4
could n't                     		5.0            		8.8794174E-4
n't comment                   		4.0            		7.022472E-4
comment .                     		4.0            		7.122507E-4
. The                         		122.0          		0.018470855
The Fed                       		3.0            		5.2101427E-4
Fed provides                  		2.0            		3.5555556E-4
provides money                		2.0            		3.565698E-4
money to                      		3.0            		5.3409295E-4
to the                        		86.0           		0.013749001
the banking                   		5.0            		7.10631E-4
banking system                		2.0            		3.5618877E-4
system by                     		2.0            		3.564427E-4
by buying                     		2.0            		3.4837137E-4
buying government             		2.0            		3.565698E-4
government securities         		2.0            		3.5593522E-4
securities from               		2.0            		3.5618877E-4
from financial                		2.0            		3.5161743E-4
financial institutions        		2.0            		3.553029E-4
institutions .                		2.0            		3.566334E-4
. Now                         		4.0            		6.056018E-4
Now he                        		2.0            		3.565698E-4
he is                         		10.0           		0.0017568517
is writing                    		2.0            		3.4524425E-4
writing a                     		2.0            		3.566334E-4
a book                        		2.0            		3.2320622E-4
